Date,Time,Open,High,Low,Close
2023.06.08,16:00:00,1.07467,1.07871,1.07418,1.07847
2023.06.08,20:00:00,1.07845,1.07856,1.07736,1.07814
2023.06.09,00:00:00,1.07796,1.07851,1.07786,1.07820
2023.06.09,04:00:00,1.07820,1.07851,1.07746,1.07753
2023.06.09,08:00:00,1.07754,1.07840,1.07592,1.07633
2023.06.09,12:00:00,1.07632,1.07841,1.07565,1.07670
2023.06.09,16:00:00,1.07671,1.07752,1.07435,1.07482
2023.06.09,20:00:00,1.07482,1.07522,1.07429,1.07495
2023.06.12,00:00:00,1.07485,1.07515,1.07431,1.07453
2023.06.12,04:00:00,1.07452,1.07459,1.07330,1.07409
2023.06.12,08:00:00,1.07408,1.07839,1.07404,1.07770
2023.06.12,12:00:00,1.07770,1.07901,1.07605,1.07661
2023.06.12,16:00:00,1.07661,1.07716,1.07430,1.07486
2023.06.12,20:00:00,1.07486,1.07633,1.07450,1.07579
2023.06.13,00:00:00,1.07541,1.07669,1.07529,1.07605
2023.06.13,04:00:00,1.07605,1.07830,1.07592,1.07822
2023.06.13,08:00:00,1.07822,1.08082,1.07814,1.08072
2023.06.13,12:00:00,1.08073,1.08235,1.07841,1.08142
2023.06.13,16:00:00,1.08141,1.08181,1.07779,1.08023
2023.06.13,20:00:00,1.08023,1.08043,1.07829,1.07925
2023.06.14,00:00:00,1.07908,1.07930,1.07858,1.07901
2023.06.14,04:00:00,1.07901,1.07961,1.07847,1.07896
2023.06.14,08:00:00,1.07896,1.08048,1.07739,1.08020
2023.06.14,12:00:00,1.08020,1.08333,1.07964,1.08311
2023.06.14,16:00:00,1.08311,1.08640,1.08273,1.08623
2023.06.14,20:00:00,1.08622,1.08628,1.08012,1.08308
2023.06.15,00:00:00,1.08266,1.08444,1.08243,1.08381
2023.06.15,04:00:00,1.08381,1.08381,1.08082,1.08115
2023.06.15,08:00:00,1.08114,1.08373,1.08038,1.08328
2023.06.15,12:00:00,1.08328,1.08811,1.08145,1.08642
2023.06.15,16:00:00,1.08639,1.09451,1.08583,1.09437
2023.06.15,20:00:00,1.09437,1.09527,1.09395,1.09454
2023.06.16,00:00:00,1.09438,1.09510,1.09398,1.09419
2023.06.16,04:00:00,1.09420,1.09484,1.09355,1.09388
2023.06.16,08:00:00,1.09388,1.09624,1.09339,1.09505
2023.06.16,12:00:00,1.09505,1.09705,1.09397,1.09508
2023.06.16,16:00:00,1.09509,1.09670,1.09175,1.09338
2023.06.16,20:00:00,1.09338,1.09454,1.09320,1.09406
2023.06.19,00:00:00,1.09349,1.09463,1.09317,1.09368
2023.06.19,04:00:00,1.09368,1.09407,1.09322,1.09347
2023.06.19,08:00:00,1.09347,1.09413,1.09251,1.09294
2023.06.19,12:00:00,1.09295,1.09296,1.09072,1.09260
2023.06.19,16:00:00,1.09260,1.09288,1.09122,1.09161
2023.06.19,20:00:00,1.09161,1.09227,1.09157,1.09225
2023.06.20,00:00:00,1.09198,1.09264,1.09168,1.09203
2023.06.20,04:00:00,1.09203,1.09237,1.09105,1.09138
2023.06.20,08:00:00,1.09137,1.09462,1.09117,1.09379
2023.06.20,12:00:00,1.09380,1.09400,1.09120,1.09194
2023.06.20,16:00:00,1.09194,1.09246,1.08918,1.09150
2023.06.20,20:00:00,1.09150,1.09175,1.09097,1.09166
2023.06.21,00:00:00,1.09156,1.09223,1.09146,1.09161
2023.06.21,04:00:00,1.09160,1.09212,1.09117,1.09161
2023.06.21,08:00:00,1.09161,1.09337,1.09055,1.09249
2023.06.21,12:00:00,1.09249,1.09298,1.09081,1.09252
2023.06.21,16:00:00,1.09249,1.09737,1.09104,1.09706
2023.06.21,20:00:00,1.09706,1.09908,1.09672,1.09868
2023.06.22,00:00:00,1.09851,1.09924,1.09824,1.09886
2023.06.22,04:00:00,1.09885,1.09951,1.09866,1.09871
2023.06.22,08:00:00,1.09873,1.10037,1.09796,1.09929
2023.06.22,12:00:00,1.09928,1.10122,1.09800,1.09824
2023.06.22,16:00:00,1.09824,1.09891,1.09485,1.09545
2023.06.22,20:00:00,1.09546,1.09616,1.09500,1.09536
2023.06.23,00:00:00,1.09551,1.09586,1.09526,1.09552
2023.06.23,04:00:00,1.09552,1.09562,1.09289,1.09330
2023.06.23,08:00:00,1.09330,1.09341,1.08486,1.08491
2023.06.23,12:00:00,1.08491,1.08956,1.08443,1.08872
2023.06.23,16:00:00,1.08872,1.09029,1.08789,1.08857
2023.06.23,20:00:00,1.08859,1.08962,1.08859,1.08939
2023.06.26,00:00:00,1.09003,1.09094,1.08954,1.09053
2023.06.26,04:00:00,1.09053,1.09098,1.08999,1.09024
2023.06.26,08:00:00,1.09024,1.09110,1.08872,1.08920
2023.06.26,12:00:00,1.08920,1.09201,1.08907,1.09174
2023.06.26,16:00:00,1.09174,1.09200,1.08999,1.09087
2023.06.26,20:00:00,1.09087,1.09153,1.09041,1.09045
2023.06.27,00:00:00,1.09043,1.09119,1.09018,1.09044
2023.06.27,04:00:00,1.09044,1.09351,1.09037,1.09232
2023.06.27,08:00:00,1.09232,1.09438,1.09162,1.09395
2023.06.27,12:00:00,1.09395,1.09722,1.09261,1.09652
2023.06.27,16:00:00,1.09653,1.09768,1.09423,1.09588
2023.06.27,20:00:00,1.09588,1.09639,1.09550,1.09606
2023.06.28,00:00:00,1.09614,1.09626,1.09527,1.09546
2023.06.28,04:00:00,1.09546,1.09562,1.09421,1.09486
2023.06.28,08:00:00,1.09486,1.09607,1.09360,1.09528
2023.06.28,12:00:00,1.09528,1.09622,1.09259,1.09277
2023.06.28,16:00:00,1.09277,1.09445,1.08967,1.09108
2023.06.28,20:00:00,1.09108,1.09239,1.09098,1.09125
2023.06.29,00:00:00,1.09120,1.09187,1.09012,1.09070
2023.06.29,04:00:00,1.09070,1.09144,1.08806,1.08854
2023.06.29,08:00:00,1.08855,1.09218,1.08842,1.09144
2023.06.29,12:00:00,1.09143,1.09414,1.08731,1.08810
2023.06.29,16:00:00,1.08810,1.08967,1.08601,1.08706
2023.06.29,20:00:00,1.08706,1.08751,1.08639,1.08655
2023.06.30,00:00:00,1.08652,1.08740,1.08622,1.08718
2023.06.30,04:00:00,1.08721,1.08755,1.08603,1.08697
2023.06.30,08:00:00,1.08698,1.08755,1.08353,1.08385
2023.06.30,12:00:00,1.08386,1.08976,1.08356,1.08970
2023.06.30,16:00:00,1.08970,1.09318,1.08961,1.09183
2023.06.30,20:00:00,1.09183,1.09228,1.09076,1.09103
2023.07.03,00:00:00,1.09106,1.09130,1.09004,1.09013
2023.07.03,04:00:00,1.09013,1.09181,1.09009,1.09176
2023.07.03,08:00:00,1.09176,1.09181,1.08701,1.08863
2023.07.03,12:00:00,1.08863,1.09102,1.08761,1.09088
2023.07.03,16:00:00,1.09089,1.09339,1.09016,1.09156
2023.07.03,20:00:00,1.09159,1.09163,1.09084,1.09134
2023.07.04,00:00:00,1.09095,1.09153,1.09084,1.09096
2023.07.04,04:00:00,1.09096,1.09163,1.09005,1.09006
2023.07.04,08:00:00,1.09007,1.09147,1.08920,1.08955
2023.07.04,12:00:00,1.08955,1.09038,1.08896,1.09006
2023.07.04,16:00:00,1.09005,1.09074,1.08919,1.08944
2023.07.04,20:00:00,1.08945,1.08972,1.08769,1.08788
2023.07.05,00:00:00,1.08802,1.08906,1.08767,1.08868
2023.07.05,04:00:00,1.08867,1.08871,1.08749,1.08758
2023.07.05,08:00:00,1.08758,1.09078,1.08663,1.08880
2023.07.05,12:00:00,1.08879,1.09020,1.08754,1.08942
2023.07.05,16:00:00,1.08942,1.09014,1.08591,1.08608
2023.07.05,20:00:00,1.08608,1.08653,1.08509,1.08540
2023.07.06,00:00:00,1.08532,1.08570,1.08463,1.08490
2023.07.06,04:00:00,1.08490,1.08532,1.08336,1.08433
2023.07.06,08:00:00,1.08432,1.08754,1.08416,1.08640
2023.07.06,12:00:00,1.08642,1.09006,1.08584,1.08739
2023.07.06,16:00:00,1.08739,1.08877,1.08335,1.08724
2023.07.06,20:00:00,1.08722,1.08929,1.08721,1.08911
2023.07.07,00:00:00,1.08872,1.08949,1.08824,1.08853
2023.07.07,04:00:00,1.08851,1.08950,1.08834,1.08911
2023.07.07,08:00:00,1.08915,1.09003,1.08670,1.08775
2023.07.07,12:00:00,1.08775,1.09315,1.08700,1.09120
2023.07.07,16:00:00,1.09117,1.09727,1.08953,1.09717
2023.07.07,20:00:00,1.09716,1.09733,1.09632,1.09659
2023.07.10,00:00:00,1.09636,1.09698,1.09569,1.09642
2023.07.10,04:00:00,1.09642,1.09695,1.09525,1.09530
2023.07.10,08:00:00,1.09530,1.09655,1.09451,1.09647
2023.07.10,12:00:00,1.09647,1.09733,1.09435,1.09469
2023.07.10,16:00:00,1.09470,1.09928,1.09470,1.09892
